"Calgary, AB, Canada",51.056508,-114.033822,success
"Ann Arbor, MI, USA",42.279731,-83.736923,success
"Belmont, MA, USA",42.395401,-71.179948,success
Africa,21.638471,3.924068,doubt
"City of Edinburgh, Scotland, United Kingdom",55.928260,-3.275582,doubt
"Preston, England, United Kingdom",53.774575,-2.701062,success
"Philadelphia, PA, USA",39.990821,-75.168428,success
"Oxford, NY, USA",42.403249,-75.591062,success
"Vaucluse, France",43.979616,5.223209,doubt
"Sacramento, CA, USA",38.578730,-121.466786,success
"The Rock Church and World, San Bernardino, CA, USA",34.059115,-117.278755,doubt
Switzerland,46.730219,7.509687,success
"Bremen, Germany",53.090260,8.852958,success
"Dijon, France",47.317743,5.037793,success
"New York, NY, USA",40.682950,-73.970800,success
"Fort William, Scotland, United Kingdom",56.818914,-5.103589,success
"Austin, TX, USA",30.222346,-97.836521,success
"Enschede, Netherlands",52.212261,6.881208,success
France,46.698481,2.549047,success
Netherlands,52.554205,5.501896,success
"Dublin, Ireland",53.339280,-6.281314,success
"Earth, TX, USA",34.233025,-102.409180,success
"Tartumaa, Estonia",58.372941,26.738843,doubt
"Hamburg, Germany",53.576158,10.007046,success
"Arona, Italy",45.757723,8.553225,doubt
"Accra Beach Hotel & Spa, Barbados",13.074324,-59.589897,success
"Cambridge, England, United Kingdom",52.204059,0.135671,success
Gijón,failed,failed,failed
"Shanghai, China",31.246027,121.483385,success
"Scotland, United Kingdom",56.833010,-4.180209,doubt
"Liverpool, England, United Kingdom",53.402639,-2.935346,doubt
Ireland,53.078731,-7.798618,success
"Santiago, Chile",-33.428532,-70.630133,success
"Lancashire, England, United Kingdom",53.888754,-2.672673,doubt
Netherlands,52.554205,5.501896,success
"Wisconsin, USA",44.356004,-89.466198,success
"Riga, Latvia",56.971149,24.142749,success
"Grantown-on-Spey, Scotland, United Kingdom",57.328598,-3.609860,success
"Wurundjeri Way, West Melbourne, VIC, Australia",-37.812150,144.945349,doubt
"Perth, WA, Australia",-31.960773,115.834088,success
"Freiburg im Breisgau, Germany",47.998194,7.834283,success
"Freiburg im Breisgau, Germany",47.998194,7.834283,success
"Madrid, Spain",40.429913,-3.669245,success
"Melbourne, VIC, Australia",-37.825071,144.978682,success
"Munich, Calama, Chile",-22.452023,-68.941281,doubt
"London, England, United Kingdom",51.509648,-0.099076,success
"Butw�l, Nepal",27.700550,83.448360,success
"Wakefield, England, United Kingdom",53.661245,-1.407684,doubt
"London, England, United Kingdom",51.509648,-0.099076,success
"London, England, United Kingdom",51.509648,-0.099076,success
"Lubelskie, Poland",51.254167,22.876125,doubt
"Burscough, England, United Kingdom",53.597510,-2.839334,success
"Canton of Geneva, Switzerland",46.195930,6.128052,doubt
Sweden,65.859144,19.017205,success
"Utrecht, Netherlands",52.072602,5.181058,doubt
www.cartapaname.fr,failed,failed,failed
"Northern Territory, Australia",-19.488357,133.438712,success
Germany,51.196755,9.627430,success
"Manila, KY, USA",37.842870,-82.915440,doubt
Kugane,failed,failed,failed
Poland,51.899304,20.388926,success
"Las Palmas, Spain",28.115784,-15.439151,success
Netherlands,52.554205,5.501896,success
"Vienna, Austria",48.198674,16.348388,success
"Guildford, England, United Kingdom",51.249108,-0.587661,success
"Hamburg, Germany",53.576158,10.007046,success
"Fareham, England, United Kingdom",50.853966,-1.191620,success
France,46.698481,2.549047,success
"Rennes, France",48.110805,-1.665857,success
"London, England, United Kingdom",51.509648,-0.099076,success
"Dublin, Ireland",53.339280,-6.281314,success
"Tamizhagam, India",13.030109,80.203047,success
"Stevenage, England, United Kingdom",51.907148,-0.192704,success
"Asheville, NC, USA",35.589294,-82.554791,success
"Reserva natural Ibiza Barcelona, Barcelona, Spain",41.387495,2.172127,success
"Lucerne, Switzerland",47.092982,8.076930,doubt
"Brisbane, QLD, Australia",-27.469309,153.026164,success
"Hamburg, Germany",53.576158,10.007046,success
Israel,30.902941,34.860794,success
"Too Much, Argentina",-34.659045,-58.663461,doubt
"Kuwaiti Egyptian Exchange, Kuwait",29.333932,48.057228,doubt
"Pirkanmaa, Finland",61.708766,23.673573,doubt
"Northampton, England, United Kingdom",52.258125,-0.855821,success
"Inverness, Scotland, United Kingdom",57.479549,-4.237208,success
"London, England, United Kingdom",51.509648,-0.099076,success
Germany,51.196755,9.627430,doubt
東京都中野区東中野4-2-3,failed,failed,failed
"Norfolk, England, United Kingdom",52.682784,0.933759,doubt
Denmark,55.966966,9.018163,success
"Paris, France",48.859116,2.331839,success
"Antwerpen, Belgium",51.222805,4.655059,doubt
"London, England, United Kingdom",51.509648,-0.099076,success
"Le Nant Debout, La Balme-De-Thuy, France",45.900923,6.287043,doubt
"Helsinki, Finland",60.207870,24.999350,success
"Tokyo, Japan",35.695126,139.753910,success
Estonia,58.722853,25.867131,success
"Perth, Scotland, United Kingdom",56.395704,-3.435877,success
Madagascar,-18.628414,46.704055,success
"Hamburg, Germany",53.576158,10.007046,success
"Merced, CA, USA",37.331751,-120.472344,success
"Dublin, Ireland",53.339280,-6.281314,success
"Paris, France",48.859116,2.331839,success
"Sleman, Indonesia",-7.689272,110.351332,success
"Eksjö, Sweden",failed,failed,failed
"Hamburg, Germany",53.576158,10.007046,success
Israel,30.902941,34.860794,success
"Wellington Region, New Zealand",-41.281385,175.329020,doubt
"San Francisco, CA, USA",37.778008,-122.431272,success
"1520 Avenida México, Puente Alto, Chile",-33.594949,-70.559009,doubt
"Tshwane, South Africa",-25.743706,28.259675,success
"Helsinki, Finland",60.207870,24.999350,success
"Clermont-Ferrand, France",45.784832,3.114432,success
"Earth, TX, USA",34.233025,-102.409180,success
"Christchurch City, New Zealand",-43.737208,172.759210,doubt
Bangladesh,24.045958,90.032723,success
"Perth, WA, Australia",-31.960773,115.834088,success
"Halifax, NS, Canada",44.645330,-63.572390,success
"Alpha Centauri Real Estate, Bahrain",26.115794,50.574431,doubt
"San Francisco, CA, USA",37.778008,-122.431272,success
"Pullman, WA, USA",46.735921,-117.164305,success
Brazil,-11.928923,-49.542449,success
"Guadalajara, Mexico",20.673618,-103.351266,success
"Delft, Netherlands",52.005926,4.360402,success
"Richmond, VA, USA",37.519231,-77.473927,success
"Variable, Brussel, Belgium",50.827928,4.368933,doubt
"Mexico City, Berlin, Germany",52.457749,13.319523,doubt
"Redlands, CA, USA",34.046796,-117.174269,success
"Amsterdam, Netherlands",52.372430,4.899730,success
"Philadelphia, PA, USA",39.990821,-75.168428,success
"City of Edinburgh, Scotland, United Kingdom",55.928260,-3.275582,doubt
"San Jose, CA, USA",37.354559,-121.883844,success
"Richmond, VA, USA",37.519231,-77.473927,success
"Nantes, France",47.228973,-1.554004,success
