Israel	30.902941	34.860794	success
Bedford, England, United Kingdom	52.183762	-0.473722	doubt
Guadalajara, Mexico	20.673618	-103.351266	success
Tartumaa, Estonia	58.372941	26.738843	doubt
Nan, Thailand	18.796087	100.834711	doubt
Tongeren, Belgium	50.783247	5.470595	success
Toulouse, France	43.603902	1.440694	success
Nan, Thailand	18.796087	100.834711	doubt
Syracuse, NY, USA	43.043536	-76.148211	success
Kuwaiti Egyptian Exchange, Kuwait	29.333932	48.057228	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nagercoil, India	8.183039	77.414895	success
London, England, United Kingdom	51.509648	-0.099076	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Stanford, CA, USA	37.425888	-122.165288	success
London, England, United Kingdom	51.509648	-0.099076	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Stirling, Scotland, United Kingdom	56.281067	-4.436736	doubt
Nan, Thailand	18.796087	100.834711	doubt
Arona, Spain	28.093304	-16.68371	success
Santiago, Spain	42.883508	-8.540282	success
Rennes, France	48.110805	-1.665857	success
City of Edinburgh, Scotland, United Kingdom	55.92826	-3.275582	doubt
The Rock Church and World, San Bernardino, CA, USA	34.059115	-117.278755	doubt
Nova Scotia, Canada	45.226989	-63.509537	success
Constantinople, Turkey	41.01384	28.94966	success
Nan, Thailand	18.796087	100.834711	doubt
Earth, TX, USA	34.233025	-102.40918	success
London, Queens, New York, NY, USA	40.73637	-73.865049	doubt
Tamizhagam, India	13.030109	80.203047	success
San Salvador, El Salvador	13.68935	-89.18718	success
51.071363,-4.126697	failed	failed	failed
Dublin, Ireland	53.33928	-6.281314	success
City of Edinburgh, Scotland, United Kingdom	55.92826	-3.275582	doubt
Nan, Thailand	18.796087	100.834711	doubt
Paris, France	48.859116	2.331839	success
Brisbane, QLD, Australia	-27.469309	153.026164	doubt
Rome, Italy	41.878243	12.52809	success
Nan, Thailand	18.796087	100.834711	doubt
Germany	51.196755	9.62743	success
Rochelle Lane, De Soto Parish, LA, USA	32.193567	-93.676432	doubt
City of Southampton, England, United Kingdom	50.91525	-1.386803	doubt
Paris, France	48.859116	2.331839	success
Montpellier, France	43.614719	3.864104	success
Rotary International in Great Britain & Ireland, Alcester, England, United Kingdom	52.218403	-1.866146	doubt
Bogota D.C., Colombia	4.602053	-74.102589	doubt
Dublin, Ireland	53.33928	-6.281314	success
Barcelona, Spain	41.400347	2.159592	success
London, England, United Kingdom	51.509648	-0.099076	success
Netherlands	52.554205	5.501896	success
Cambridge, England, United Kingdom	52.204059	0.135671	success
Estonia	58.722853	25.867131	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Boston, MA, USA	42.355492	-71.048611	doubt
Liverpool, England, United Kingdom	53.402639	-2.935346	doubt
Meath, Ireland	53.644811	-6.740901	doubt
Lancaster, England, United Kingdom	54.048678	-2.799452	success
Nan, Thailand	18.796087	100.834711	doubt
Copenhagen, Denmark	55.704438	12.502119	success
Israel	30.902941	34.860794	success
Como, Italy	45.984359	9.157301	doubt
Dublin, Ireland	53.33928	-6.281314	success
Sheffield, England, United Kingdom	53.390826	-1.468485	success
Le Havre, France	49.501095	0.134559	success
Nan, Thailand	18.796087	100.834711	doubt
Canton of Geneva, Switzerland	46.19593	6.128052	doubt
Manchester, England, United Kingdom	53.462761	-2.216665	doubt
Scotland, United Kingdom	56.83301	-4.180209	doubt
Netherlands	52.554205	5.501896	success
Nan, Thailand	18.796087	100.834711	doubt
Netherlands	52.554205	5.501896	success
Nan, Thailand	18.796087	100.834711	doubt
Shrewsbury, England, United Kingdom	52.70126	-2.762587	success
City of Leicester, England, United Kingdom	52.631397	-1.134182	doubt
New Zealand	-45.175323	169.232531	success
England, United Kingdom	52.59431	-1.461208	doubt
Germany	51.196755	9.62743	success
Cornwall.Devon.Dorset.Somerset	failed	failed	failed
Czechia	49.88233	15.377705	success
City of Edinburgh, Scotland, United Kingdom	55.92826	-3.275582	doubt
Paris, France	48.859116	2.331839	success
Netherlands	52.554205	5.501896	success
Scotland, United Kingdom	56.83301	-4.180209	doubt
1305 N Holopono St, Kihei, HI, USA	20.7506	-156.43802	success
938 S Kihei Rd, Kihei, HI, USA	20.759536	-156.458098	doubt
United States	39.715956	-96.999668	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Tokyo Prefecture, Japan	35.675099	139.393288	success
0,13	failed	failed	failed
Berlin, Germany	52.52045	13.40732	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
BCN-Spain	failed	failed	failed
Switzerland	46.730219	7.509687	success
Philippines	16.932122	121.387948	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
City of Southampton, England, United Kingdom	50.91525	-1.386803	doubt
Netherlands	52.554205	5.501896	success
Valencia, Spain	39.464773	-0.363258	success
New Zealand	-45.175323	169.232531	success
Helsinki, Finland	60.20787	24.99935	success
Turku, Finland	60.398454	22.185732	success
Ciudad de México, Mexico	19.254767	-99.142535	doubt
Nan, Thailand	18.796087	100.834711	doubt
Vaucluse, France	43.979616	5.223209	doubt
Killeen, TX, USA	31.074606	-97.726731	success
India	22.412321	79.132924	success
Nan, Thailand	18.796087	100.834711	doubt
Mexico	23.920061	-102.289691	success
Helsinki, Finland	60.20787	24.99935	success
NZ Post, New Zealand	-37.693431	176.108237	doubt
Sapporo-shi, Japan	43.080237	141.336707	success
Christchurch City, New Zealand	-43.737208	172.75921	doubt
Riyadh, Saudi Arabia	24.68773	46.72185	success
Nan, Thailand	18.796087	100.834711	doubt
BCN, Buenos Aires, Argentina	-34.560367	-58.457787	doubt
Montreal, QC, Canada	45.572744	-73.586295	success
Nan, Thailand	18.796087	100.834711	doubt
Bogor, Indonesia	-6.408106	106.583521	success
San Diego, CA, USA	32.72793	-117.15529	success
Chile	-38.165295	-72.288079	success
Nan, Thailand	18.796087	100.834711	doubt
Nancy, France	48.690303	6.178289	success
Paris, France	48.859116	2.331839	success
New York, NY, USA	40.68295	-73.9708	success
Nan, Thailand	18.796087	100.834711	doubt
Ciudad de México, Mexico	19.254767	-99.142535	doubt
Nan, Thailand	18.796087	100.834711	doubt
Asturies, Madrid, Spain	40.41194	-3.72674	success
London, England, United Kingdom	51.509648	-0.099076	success
Copenhagen, Denmark	55.704438	12.502119	success
Honduras	14.762778	-86.920196	success
Inverness, Scotland, United Kingdom	57.479549	-4.237208	success
France	46.698481	2.549047	success
South Africa	-29.708985	23.666291	success
CDMX	failed	failed	failed
Lima, Peru	-12.04318	-77.02824	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Denver, CO, USA	39.740959	-104.985798	doubt
Cambridge, MA, USA	42.38036	-71.115987	success
Nan, Thailand	18.796087	100.834711	doubt
Anchorage, AK, USA	61.195429	-149.358257	success
Atlanta, GA, USA	33.769805	-84.414581	success
Earth, TX, USA	34.233025	-102.40918	success
Teresina, Brazil	-5.051453	-42.786841	success
Nan, Thailand	18.796087	100.834711	doubt
Christchurch, New Zealand	-43.517364	172.610876	success
Bellingham, WA, USA	48.764218	-122.468178	success
Winnipeg, MB, Canada	49.874557	-97.138026	success
Copenhagen, Denmark	55.704438	12.502119	success
Stockholm, Sweden	59.275254	18.035164	success
Medellín, Colombia	6.25184	-75.56359	success
Tshwane, South Africa	-25.743706	28.259675	success
City of Plymouth, England, United Kingdom	50.399613	-4.124938	doubt
Helsinki, Finland	60.20787	24.99935	success
Old Naisi, Malawi	-15.370577	35.337803	success
Houston, TX, USA	29.784753	-95.361416	success
San Diego, CA, USA	32.72793	-117.15529	success
San Francisco, CA, USA	37.778008	-122.431272	success
Nan, Thailand	18.796087	100.834711	doubt
Ireland	53.078731	-7.798618	success
Tshwane, South Africa	-25.743706	28.259675	success
Nan, Thailand	18.796087	100.834711	doubt
District of Columbia, USA	38.912097	-77.014683	doubt
London, England, United Kingdom	51.509648	-0.099076	success
Portsmouth, England, United Kingdom	50.810942	-1.06444	doubt
Manchester, England, United Kingdom	53.462761	-2.216665	doubt
Milky Way, Madison, WI, USA	43.098493	-89.279773	success
Dublin, Ireland	53.33928	-6.281314	success
Stockholm, Sweden	59.275254	18.035164	success
Boston, MA, USA	42.355492	-71.048611	success
Edmonton, AB, Canada	53.546218	-113.490371	success
Tuscaloosa, AL, USA	33.200377	-87.526221	success
Nan, Thailand	18.796087	100.834711	doubt
Nuuk, Greenland	64.183334	-51.75	success
Govern d'Andorra, Brussel, Belgium	50.847012	4.354748	success
Nan, Thailand	18.796087	100.834711	doubt
Southern Ute, CO, USA	37.082506	-107.589916	success
Woods Hole, MA, USA	41.528337	-70.664512	success
Hong Kong, Hong Kong	22.28552	114.15769	doubt
Southampton, England, United Kingdom	50.941582	-1.472281	success
Yorkshire, VA, USA	38.787236	-77.448996	success
Burlington, VT, USA	44.481922	-73.227342	success
Cēsis, Latvia	57.310586	25.278803	success
England, United Kingdom	52.59431	-1.461208	doubt
Nan, Thailand	18.796087	100.834711	doubt
Halifax, NS, Canada	44.64533	-63.57239	success
Nan, Thailand	18.796087	100.834711	doubt
Newcastle upon Tyne, England, United Kingdom	55.009551	-1.668049	doubt
Nan, Thailand	18.796087	100.834711	doubt
Aberdeen, Scotland, United Kingdom	57.146262	-2.136575	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Orlando, FL, USA	28.41959	-81.293691	success
Nan, Thailand	18.796087	100.834711	doubt
United Kingdom	52.418788	-1.247349	success
Milwaukee, WI, USA	43.063146	-87.948334	success
City of Edinburgh, Scotland, United Kingdom	55.92826	-3.275582	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Belo Horizonte, Brazil	-19.914319	-43.959502	success
Fiji	-17.834016	177.972004	success
Paris, France	48.859116	2.331839	success
Nan, Thailand	18.796087	100.834711	doubt
Too Much, Argentina	-34.659045	-58.663461	doubt
8 Soola, Tartu, Estonia	58.378567	26.730928	success
Netherlands	52.554205	5.501896	success
London, England, United Kingdom	51.509648	-0.099076	success
Oslo, Norway	59.914112	10.80102	success
Lignes de Paris-Est à Strasbourg et Mulhouse, Paris, France	48.898547	2.407178	doubt
Atlanta, GA, USA	33.769805	-84.414581	success
Paris, France	48.859116	2.331839	success
Nice, France	43.713667	7.264625	success
Trento, Italy	46.131509	10.880622	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Togo	8.846267	1.073832	success
Nan, Thailand	18.796087	100.834711	doubt
Poland	51.899304	20.388926	success
Doubs, France	47.153701	6.306121	doubt
Philippines	16.932122	121.387948	success
Marana, AZ, USA	32.447371	-111.200479	success
Meppel, Netherlands	52.697249	6.195237	success
Tennessee, IL, USA	40.412787	-90.833747	success
Sunnyvale, CA, USA	37.3816	-122.025875	success
Moscow, ID, USA	46.732566	-116.993113	success
Kenya	0.543716	37.918308	success
Montana, USA	47.001265	-109.645406	success
Corvallis, OR, USA	44.577978	-123.274047	success
London, England, United Kingdom	51.509648	-0.099076	success
Nan, Thailand	18.796087	100.834711	doubt
Auckland, New Zealand	-36.905451	174.672404	success
Pwani, Tanzania	-7.484173	38.814478	success
Lima, Peru	-12.04318	-77.02824	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Mexico	23.920061	-102.289691	success
Riga, Latvia	56.971149	24.142749	success
Singapore	1.357685	103.80938	success
Oakland, CA, USA	37.785199	-122.197811	success
Madison, WI, USA	43.081309	-89.395609	success
Nan, Thailand	18.796087	100.834711	doubt
Stanford, CA, USA	37.425888	-122.165288	success
Puerto Rico	18.234668	-66.481065	success
Lima, Peru	-12.04318	-77.02824	success
!México	failed	failed	failed
Ocuituco, Mexico	18.880556	-98.780163	doubt
Ciudad de México, Mexico	19.254767	-99.142535	doubt
Temuco, Chile	-38.735031	-72.632158	success
Mexico	23.920061	-102.289691	success
Southside, Richmond, VA, USA	37.501602	-77.47799	doubt
Nan, Thailand	18.796087	100.834711	doubt
Ciudad de México, Mexico	19.254767	-99.142535	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Princeton, NJ, USA	40.349768	-74.660964	success
Seattle, WA, USA	47.673455	-122.331537	success
Seattle, WA, USA	47.673455	-122.331537	success
Belize	17.206637	-88.714488	success
Medan, Indonesia	3.56072	98.664113	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Arica and Parinacota, Chile	-18.508859	-69.514033	doubt
Nan, Thailand	18.796087	100.834711	doubt
Iraq	32.765286	43.614805	success
England, United Kingdom	52.59431	-1.461208	doubt
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Georgetown, Guyana	6.80448	-58.15527	success
Aix-en-Provence, France	43.526046	5.44467	success
Nan, Thailand	18.796087	100.834711	doubt
Colombia	3.420497	-73.166783	success
Bogota D.C., Colombia	4.602053	-74.102589	doubt
Santiago, Chile	-33.428532	-70.630133	success
United States	39.715956	-96.999668	success
Leeds, England, United Kingdom	53.789944	-1.560632	success
Chicago, IL, USA	41.87897	-87.66063	success
Nan, Thailand	18.796087	100.834711	doubt
Higham, England, United Kingdom	51.42931	0.472604	success
Pullman, WA, USA	46.735921	-117.164305	success
Nashville, TN, USA	36.236907	-86.834683	success
Cambridge, England, United Kingdom	52.204059	0.135671	success
London, England, United Kingdom	51.509648	-0.099076	success
Home, WA, USA	47.277861	-122.774753	success
Derichsweiler, Engel des Herrn, Germany	50.804414	6.426082	success
Nan, Thailand	failed	failed	failed
Dehradun, India	30.31667	78.03333	success
Paris, France	48.859116	2.331839	success
Tamizhagam, India	13.030109	80.203047	success
