tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count,user_location
1455262500753063936,Day 1 of the #30DayMapChallenge:  Points…Earthquakes over the last 30 days by magnitude from @USGS  #IMNOS https://t.co/vsGU8twOSM,276280627,2021-11-01 19:56:32+00:00,en,2,0,7,0,Twitter Web App,3_1455262444582948865,https://pbs.twimg.com/media/FDIhe6hVUAERdl8.jpg,photo, ,Patrick Nelson,pnelson917,False,232,488,"Phoenix, AZ"
1455262163329765389,"Each point on the map represents Lightning Strike Counts in 0.1 x 0.1 DD grids for May 2021. Heavy storms in Texas this year prompted me to make this map, and I just had a lot of fun exploring this data over the YEAR. Data access through SWDI🎉
#30DayMapChallenge #GISChat #Maps https://t.co/GNtRwz0k0g",731327870958600194,2021-11-01 19:55:11+00:00,en,7,3,10,1,Twitter for Android,3_1455262161102585860,https://pbs.twimg.com/media/FDIhOaeWQAQ4KMs.jpg,photo, ,HCP Messman 🌍,HCAP_Messman,False,38,93,Texas
1455261954793160712,"#Agiffy of Kampala City Police Stations.

1.Points &gt; Day_1
#30DayMapChallenge https://t.co/ODM4ckERZL",1105027229854126080,2021-11-01 19:54:22+00:00,en,7,1,19,0,Twitter Web App,7_1455260010733314055,https://pbs.twimg.com/ext_tw_video_thumb/1455260010733314055/pu/img/iv6psEEi528Bz2hf.jpg,video, ,Allan Mbabani,AMbabani,False,559,791,"Kampala, Uganda"
1455261782528888842,"My first time joining  #30DayMapChallenge
Day 1: Points

Number of bike sharing trips by end station in London, September 2021.

Data: #TfL https://t.co/vwvy8zZwLe https://t.co/q8Akv5rmRo",925644480614666240,2021-11-01 19:53:41+00:00,en,1,0,4,0,Twitter Web App,3_1455261738119663621,https://pbs.twimg.com/media/FDIg1yvXEAUg5y4.jpg,photo, ,Anna Lvova,aslvova,False,7,127, 
1455260053095780366,"#30DayMapChallenge centré sur @Orsaynotreville
Jour 1 - Points
Tous les bâtiments sont représentés par des points, colorés par numéros d'id de @openstreetmap (je n'ai pas eu le temps de les trier par date)
https://t.co/sXPbnln3lR
Je vais essayer de faire les 30 cartes sur Orsay.",3068008768,2021-11-01 19:46:48+00:00,fr,0,1,1,0,Twitter for Android,3_1455198150709452802,https://pbs.twimg.com/media/FDHnAhLXoAIB7F6.jpg,photo, ,CômeMS,Come_M_S,False,7,122,"Orsay, France"
1455259490450743297,"🗺️🚢Global ports

Día 01 - Points-#30DayMapChallenge #maps 
#QGIS #mapas 
Datos: WFP SDI-T Logistics Database https://t.co/ExImMyv7Fz",1154257288158298112,2021-11-01 19:44:34+00:00,ca,2,0,5,0,Twitter Web App,3_1455256711829377027,https://pbs.twimg.com/media/FDIcROWX0AMVT7K.jpg,photo, ,geoscéntricos 🗺️,geoscentricos,False,864,303,Ciudad de México
1455257890034487296,"#30DayMapChallenge 
day 1 - points
buildings as points - visualization of buildings floor levels

hm this gives me idea to perform floor area ratio calculation https://t.co/8gVGnO88jX",1311757794417283072,2021-11-01 19:38:13+00:00,en,1,0,9,0,Twitter Web App,3_1455257708140056577,https://pbs.twimg.com/media/FDIdLN5WUAEbtvl.jpg,photo, ,mjeż.gis,mjezgis,False,18,26, 
1455257540946767873,"Day 1 - Points! Bubbly Volcanoes, making the Ring of Fire look a wee bit cuter #30DayMapChallenge https://t.co/skp1tznucG",1322964052142936066,2021-11-01 19:36:49+00:00,en,6,0,18,0,Twitter Web App,3_1455257522118565897,https://pbs.twimg.com/media/FDIdAY6XoAk_EgR.jpg,photo, ,GeospatialJess,GeospatialJ,False,332,118, 
1455256683450667019,"#30DayMapChallenge Day 1 - Points
Traditional #windmills versus wind turbines in The Netherlands. We need more #renewableenergy! #COP26
Data: #OpenStreetMap
Software: #QGIS, #Inkscape https://t.co/2UJU7nbnhC",760094405369946112,2021-11-01 19:33:25+00:00,en,9,1,53,0,Twitter for Android,3_1455256680447496202,https://pbs.twimg.com/media/FDIcPZcWUAoVn6l.jpg,photo, ,Hans van der Kwast,hansakwast,False,4230,1320,The Netherlands
1455256101457367041,"As a geodata and OSM nerd, I mapped the efforts of last week's @IIEP_UNESCO @UN_Mappers mapathon. in the maps you can see before and after mapathon the meters of road mapped by initatives @AmelieAGagnon #30DayMapChallenge 2/30 https://t.co/3iFokttPQG",1205107570400210944,2021-11-01 19:31:06+00:00,en,5,0,15,1,Twitter Web App,3_1455255465684840451,https://pbs.twimg.com/media/FDIbIsGXMAMjwWR.jpg,photo, ,Muhammad Saleem,Muhammad_osm,False,104,513,"Enschede, The Netherlands"
1455255686380675078,"#30DayMapChallenge by @tjukanov 
Let's start simple and see how far I get...
Day 1 - Points
Populated areas in continental Ecuador
Created with {tmap} in #RStats 
Code here: https://t.co/4Lp8BtbMZf https://t.co/F8zCTCZobI",233748559,2021-11-01 19:29:27+00:00,en,6,0,18,0,Twitter Web App,3_1455255576146063364,https://pbs.twimg.com/media/FDIbPHmXsAQBmVY.png,photo, ,Lorena Abad,loreabad6,False,1247,927,"Salzburg, Austria"
1455255288555126785,"I'm doing a 30 day mapping challenge! For day one I decided to map all the places I've lived in Lansing in the last decade, and my emotional health while living there. It felt nice to reflect on how far I've come, finally in the yellow ✨🔐 #gischat #30DayMapChallenge https://t.co/XAJiJaNaiX",931225337916153856,2021-11-01 19:27:52+00:00,en,3,3,15,0,Twitter Web App,3_1455254981779595264,https://pbs.twimg.com/media/FDIashaXIAAdY4K.jpg,photo, ,kara grace ✨,daturadelphina,False,96,407,"Michigan, USA"
1455255249959235593,Day 1 Points. Places I’ve slept in Ohio #30DayMapChallenge https://t.co/VarifXNKKW,2391754261,2021-11-01 19:27:43+00:00,en,2,3,45,1,Twitter for iPhone,3_1455255243369877508,https://pbs.twimg.com/media/FDIa7v6WEAQGnu_.jpg,photo, ,🌏Map of the Week,MapOfTheWeek,False,1076,370,"Arlington, MA"
1455254066959949828,#30DayMapChallenge All ice-cream parlors in my hometown the city of #Leipzig for the #30DayMapChallenge. 🍦 https://t.co/wv448IbpRB,2853392963,2021-11-01 19:23:01+00:00,en,2,0,16,0,Twitter Web App,7_1455253129956577287,https://pbs.twimg.com/ext_tw_video_thumb/1455253129956577287/pu/img/p7gPlzY2L0TXEYuu.jpg,video, ,GEOlayers,GEOlayers,False,568,477,Leipzig
1455253041200910339,#30DayMapChallenge #1 (Points): 2020 Presidential Election results for the state of Georgia with each vote rendered as a point of light. https://t.co/GtL0vKGdef,3004761699,2021-11-01 19:18:56+00:00,en,0,0,7,0,Twitter Web App,3_1455252943628812288,https://pbs.twimg.com/media/FDIY14tWQAAiWF8.jpg,photo, ,Grand Republic,grandrepublicdc,False,9,111,"Arlington, VA"
1455251887633096707,#30DayMapChallenge #Day1 Points - Could not resist on one of @Eurostat GISCO datasets - Points of labels of statistical regions -Looking forward for the next 30 days - Continents and NUTS Data:https://t.co/2grnD2nI7m https://t.co/mLDfwHJZKG,2574612668,2021-11-01 19:14:21+00:00,en,1,1,8,0,TweetDeck,3_1455251049300865027,https://pbs.twimg.com/media/FDIXHnyXsAMlwcN.png,photo, ,hannes reuter,hireuter,False,290,601, 
1455251796532756481,"Day 2 of #30DayMapChallenge 2021 – Lines

Side-on view of Kirikirikatata/Mount Cook Range, created in Blender using Freestyle #b3d

https://t.co/BT2Mw2HDRS https://t.co/Df63seLZ1y",1020137956869222401,2021-11-01 19:14:00+00:00,en,16,4,102,0,Twitter Web App,3_1455020126122614789,https://pbs.twimg.com/media/FDFFGH6VIAUDlXA.jpg,photo, ,Andrew Tyrrell,SouthArrowMaps,False,1479,217,"Christchurch, New Zealand"
1455249785611427841,"#30DayMapChallenge Day 2 - Lines

Contour lines from the Hunua Ranges, which I am gradually getting tattooed on my right arm. Two more sessions to go🙂

I wanted to go for the design in the top right, but had to thin out the contours to make it feasible as a tattoo. https://t.co/Bcwm2MKAIZ",1224816596822003712,2021-11-01 19:06:00+00:00,en,2,1,10,0,Twitter Web App,3_1455249532518756353,https://pbs.twimg.com/media/FDIVvVVVcAEYaNH.jpg,photo, ,James Ford,JamesFiord,False,208,413, 
1455249594791694338,"2/2 Lots of maps, as it’s geography but also for the #30DayMapChallenge https://t.co/5nFkFaYc9q",462897153,2021-11-01 19:05:15+00:00,en,2,2,42,0,Twitter for iPhone,3_1455249588336697344,https://pbs.twimg.com/media/FDIVylRXoAA6d4_.jpg,photo, ,Dr Susan Pike,SusanJPike,False,4271,4069,"Dublin, Ireland"
1455249453368102924,"#30DayMapChallenge Day 1: Points
All the markets location in my hometown Shenzhen, China. https://t.co/UQIJJ38fi9",4803263322,2021-11-01 19:04:41+00:00,en,2,0,6,0,Twitter Web App,3_1455249232357625856,https://pbs.twimg.com/media/FDIVd3JWEAAuYoU.png,photo, ,Nianhua Liu,liunianhua,False,64,358,"Salzburg, Austria"
1455249162455420933,If one point is ok - here it is #30DayMapChallenge with center of Moscow https://t.co/norYZ3Pehm,86087153,2021-11-01 19:03:32+00:00,en,1,0,1,0,Twitter Web App,3_1455249146248581134,https://pbs.twimg.com/media/FDIVY2XWUA4FzpV.jpg,photo, ,Дмитрий,DBusAI,False,34,248,"Москва, Россия"
1455248435444125711,"#30DayMapChallenge Day 1. There are 129104 intersections in the #OpenStreetMap street network of Seoul, South Korea. Here they are as points. https://t.co/D6BdVY08WK",1432648879103696896,2021-11-01 19:00:38+00:00,en,0,0,3,0,Twitter Web App,3_1455247336515452929,https://pbs.twimg.com/media/FDITvglWQAEyG7h.png,photo, ,Eemil Haapanen,eemil_haapanen,False,14,37,"Helsinki, Finland"
1455248259824369670,"#30DayMapChallenge is kicking off, let's play.
Day 1 - Points
Map: Europe's Nuclear Power Stations ⚡️ https://t.co/2u7bgosXMB",109886757,2021-11-01 18:59:57+00:00,en,3,1,9,0,Twitter Web App,3_1455247167531192326,https://pbs.twimg.com/media/FDITlrEXEAYaZHa.jpg,photo, ,J. Ortuño 🏴‍☠️,jesus_orca,False,1456,859,Entre Madrid i Elx 
1455248215616507907,"#30DayMapChallenge 2021 | Day 1: Points | Recent Earthquakes on Crete. 
In September 27, 2021 #Crete experienced severe damage due to a shallow in-land #earthquake. Here are the major seismic events (including those that shook us yesterday)!
#cARTography #MakingMapsPretty #QGIS https://t.co/XPiAcPjdid",374984100,2021-11-01 18:59:46+00:00,en,2,1,12,0,Twitter Web App,3_1455246438309433348,https://pbs.twimg.com/media/FDIS7OgWEAQpY8g.jpg,photo, ,Staridas Geography,StaridasGeo,False,1058,578,Greece
1455248176970178561,"#30DayMapChallenge
Every natural feature in California with 'Point' in the name (with elevation data).
https://t.co/yYb6OG6SZO https://t.co/Fg0UHLfWLy",17174685,2021-11-01 18:59:37+00:00,en,1,0,5,0,Twitter Web App,3_1455247475510587395,https://pbs.twimg.com/media/FDIT3mYXsAM7DDx.jpg,photo, ,gmapsmania,gmapsmania,False,17435,15, 
1455247666523394051,"#30DayMapChallenge 2021 Day 1: Points

5,39 mln points (treetop 🌲🌳  from LiDAR) Dobrocin Forest District 🇵🇱(color range: bright green [5 m] - dark red [50 m] tree height) - forest area: ~150 km2.

The geovisualization shows a small fragment of forest ~ 4,5 km2 https://t.co/7hOQgR4YTf",732551694,2021-11-01 18:57:35+00:00,en,4,0,33,0,Twitter Web App,3_1455245388676575241,https://pbs.twimg.com/media/FDIR-IUXsAkhwIB.jpg,photo, ,Kamil Onoszko 🇵🇱,Onosz,False,1677,4999,Poland
1455247098627174407,"@Terranigmus #30DayMapChallenge, day 1: points / The map shows the amount of precipitation on 14 of July 2021 as observed by the station network of Germany's national meteorological service (DWD). Map produced via DWD's Climate Data Center: https://t.co/SCKkzgs07f. #DWDCDC #OpenData #Weather https://t.co/Udwm19J5U0",3822243563,2021-11-01 18:55:20+00:00,en,0,0,5,1,Twitter Web App,3_1455246853725986823,https://pbs.twimg.com/media/FDITTaDXoAcnnvy.png,photo, ,DWD Klima und Umwelt,DWD_klima,True,15824,1221,Offenbach am Main
1455246716958134280,"Today we start our #30DayMapChallenge thread with Day 1 topic: Points
There are 10 villages named “Point” in Germany in OpenStreetMap. And all of them happen to be near Munich. https://t.co/9tNN9BQdcs",1024584556110852096,2021-11-01 18:53:49+00:00,en,1,1,24,1,Twitter Web App,3_1455246435558035473,https://pbs.twimg.com/media/FDIS7EQXEBEQYPG.jpg,photo, ,Kontur,KonturInc,False,1016,1208,"Hawaii, USA"
1455246509113581571,"Here we are with our first map from the DfM team at @Steer_Group for #30DayMapChallenge
Day 1: Points
A map to show the highest scorers of points in Premier League football history. Man Utd lead with 2,322 pts since 92/93 to 20/21 season. Red teams seem to dominate!  
#GeoViz https://t.co/QT0oIbwPEp",793464945971257350,2021-11-01 18:52:59+00:00,en,0,0,3,0,Twitter Web App,3_1455245081938743305,https://pbs.twimg.com/media/FDIRsRoX0AkaoSu.png,photo, ,Design for Movement,Steer_DfM,False,326,115,"Europe, N.America, LATAM, Asia"
1455246267668439040,"Kicking off the #30DayMapChallenge Day 01 with some exploration of Historical and preserved trees in Tel-Aviv.

Hope to get some maps done during this challenge exploring more of Israel and Tel-Aviv 🤩

#rstats code: https://t.co/NqJ63dRhMq https://t.co/NGnnvkQAlA",2167201254,2021-11-01 18:52:02+00:00,en,2,0,10,0,Twitter Web App,3_1455245793770852375,https://pbs.twimg.com/media/FDISVtaX0BcoEoC.jpg,photo, ,Amit Levinson,Amit_Levinson,False,691,1810,"Tel-Aviv, Israel"
1455245944644063238,"#30DayMapChallenge.
Day 1. Points.
ChangeLandWater Gambia River.
#qgis https://t.co/IGiXVstWco",2520428611,2021-11-01 18:50:45+00:00,en,1,0,3,0,Twitter for iPhone,3_1455245940827295746,https://pbs.twimg.com/media/FDISeRPXEAI7keZ.jpg,photo, ,JariaJallow,JallowJaria,False,811,1102,The Gambia
1455244982202290176,"#30DayMapChallenge Day 1 : ""Points""
Classic DEM to points generation available in #QGIS where points size represents elevation of terrain. Thanks to @klaskarlsson 
#mauritius #map #gis https://t.co/V6xdeKwQHs",730663860152217600,2021-11-01 18:46:55+00:00,en,1,0,2,0,Twitter Web App,3_1455244222123188225,https://pbs.twimg.com/media/FDIQ6OkXoAEys6e.jpg,photo, ,Sylvain POULAIN,GISCAN_LTD,False,209,458,Ile Maurice
1455243109718274048,#30DayMapChallenge 1. Points: There are plenty of stores selling halal-labeled meat in Lund city #QGIS https://t.co/RY13iHtz5X,969384567894241280,2021-11-01 18:39:29+00:00,en,8,2,21,0,Twitter Web App,3_1455242908475576322,https://pbs.twimg.com/media/FDIPtw2X0AIumVE.jpg,photo, ,Afif,geografif,False,126,359,"Lund, Sverige"
1455242586969550848,"#30DayMapChallenge 
Puntos (o cruces) donde hay panteones en México
(Datos de OSM)
#DiaDeMuertos https://t.co/2FFWBkhecm",962911429052518400,2021-11-01 18:37:24+00:00,es,6,0,38,0,Twitter Web App,3_1455242401916850178,https://pbs.twimg.com/media/FDIPQRxXEAI-6dJ.jpg,photo, ,Guillermo de Anda-Jáuregui,gdeandajauregui,False,1737,1330,Mexico
1455242363719208963,"#30DayMapChallenge Day 1, points. Made with https://t.co/8nctJyTCbD https://t.co/bBna9MZ6vF",277272757,2021-11-01 18:36:31+00:00,en,1,1,2,0,Twitter Web App,3_1455242289735880705,https://pbs.twimg.com/media/FDIPJv3VUAEe8FM.jpg,photo, ,Steve Cline,SteveClineBird,False,150,248,"Vancouver, WA"
1455241329114587141,"Day 1 of #30DayMapChallenge - Points.
Hospital locations in the capital city Nairobi.
Data source- OSM. Map made by @qgis. https://t.co/vdukX7FjSB",2163188711,2021-11-01 18:32:24+00:00,en,3,0,18,0,Twitter Web App,3_1455241285325967362,https://pbs.twimg.com/media/FDIOPSJWUAIWN2N.jpg,photo, ,tYsOn,tyson_okoth,False,766,658, 
1455240571363155975,"The #30DayMapChallenge is back, and day 1 theme is points. So I made a map inspired by the Vanishing Point movie. https://t.co/Lu9FiBVPxQ",309734801,2021-11-01 18:29:23+00:00,en,1,1,4,0,Twitter Web App,3_1455239194385715204,https://pbs.twimg.com/media/FDIMVkyWEAQPkVX.jpg,photo, ,Sam J,samwise_v,False,234,516,"London, UK"
1455238065916678157,"#30DayMapChallenge 2021 Day 1: Points

Where were the 185,681 pro footballers featured on Wikipedia born?

Wonder how this would have looked 20 years ago and how it will look 20 years into the future! 🤔 https://t.co/nAb7bsvK1d",939791611743137792,2021-11-01 18:19:26+00:00,en,12,5,92,3,Twitter Web App,3_1455238018671984651,https://pbs.twimg.com/media/FDILRI6WQAsq4ds.jpg,photo, ,FC Python,FC_Python,False,12432,351, 
