tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count
1460158413728411652,#30DayMapChallenge Day 15 is mapping without using a computer. Kinda embarrased about the low effort post 🙈. But here's my 3D model of Fujisan made with spaghetti. https://t.co/hUXpHU5S5p,2543362932,2021-11-15 08:11:08+00:00,en,1,1,3,0,Twitter Web App,3_1460158327443582976,https://pbs.twimg.com/media/FEOGQzcacAAVbyA.jpg,photo, ,Vajira,VajiraL,False,333,660
1460156833373556738,"#30daymapchallenge.

Day 15:  Map made without a computer 🎃

#cartography #mapping #maps #mapmadewithoutacomputer #peakdistrict #uk #pumpkin #pumpkincarving  #gis #gismapping

Map of Peak District - Chrome and Parkhouse Hill on a pumpkin by @GeospatialJess https://t.co/MDKqUWDLY9",1255575072301088770,2021-11-15 08:04:52+00:00,en,2,0,10,0,Twitter Web App,3_1460156802893598726,https://pbs.twimg.com/media/FEOE4EDX0AYo4bU.jpg,photo, ,GIS-E,GISE50189808,False,57,21
1460155612352991232,"Day 15: map made without a computer #30DayMapChallenge Following the instructions from James Monteith's Comprehensive Geography to draw a map of Europe. Mark the grid, then ""draw in order the Straits of Gibraltar, the eastern part [...]"" By the way, which projection is that? 😅 https://t.co/eDKvixPSvL",160578875,2021-11-15 08:00:01+00:00,en,1,0,2,0,Twitter Web App,3_1459136918101319681,https://pbs.twimg.com/media/FD_lS9IWYAEGQrs.png,photo, ,Xavier Olive,x00live,False,235,162
1460152776747626497,15. Map made without using a computer: rowan and chokeberry(cities) Estonia on the maple leaf sea😄 Feels extremely good to do something with your hands for a change😊Thanks @tjukanov for this topic🙏 This will likely be the most creative topic in the #30DayMapChallenge #handmade https://t.co/7bMtxR0uGl,47698876,2021-11-15 07:48:44+00:00,en,25,2,234,4,Twitter Web App,3_1460151641366319107,https://pbs.twimg.com/media/FEOALn3X0AMJzoC.jpg,photo, ,Evelyn,evelynuuemaa,False,1061,350
1460152684435099648,"Day 14 of #30DayMapChallenge - Map with a new tool.
New tool for the day was 3D terrain visualization using QGIS and GIMP software. The 3D was prepared in @qgis before editing in GIMP.
Credits:https://t.co/VpIWNodECR https://t.co/EGaDIzRPn2",2163188711,2021-11-15 07:48:22+00:00,en,1,0,4,0,Twitter Web App,3_1460152527874314240,https://pbs.twimg.com/media/FEOA_OXWUAAmVyI.jpg,photo, ,tYsOn,tyson_okoth,False,765,655
1460151345265233926,"Day 15 - without computer. 
My first map from scout expedition when I was 8. #30daymapchallenge https://t.co/fj9U4ftMYw",2841842176,2021-11-15 07:43:03+00:00,en,1,1,9,0,Twitter Web App,3_1460151005375520770,https://pbs.twimg.com/media/FEN_mmnWYAIMQ55.jpg,photo, ,Vojta Blaza,VojtisekBlaza,False,67,144
1460151220367241216,"#30DayMapChallenge 15 with no computer. Au moment de l’offensive du régime syrien sur la Ghouta orientale, j’ai imaginé le nombre de réfugiés que provoquerait un conflit tel que celui qui dure depuis 9 ans en Syrie pour un pays comme la France (au prorata de sa population) https://t.co/2csy3qiWK5",1189967197730430977,2021-11-15 07:42:33+00:00,fr,2,1,5,0,Twitter for Android,3_1460151207968878598,https://pbs.twimg.com/media/FEN_yZVXsAYXJyb.jpg,photo, ,Julien Dupont Kobri,Kartokobri,False,877,387
1460151188750540805,"#30DayMapChallenge - not with a computer (yes, it's one i prepared earlier ;) ).

Also shameless plug for a writing I wrote about what are maps anyway: https://t.co/PhKQydHhdi https://t.co/bbtzNbWUFL",768386760216805376,2021-11-15 07:42:26+00:00,en,3,0,6,0,Twitter for Android,3_1460151180743618560,https://pbs.twimg.com/media/FEN_wz6XMAAjZEH.jpg,photo, ,Adam Steer,adamdsteer,False,1337,1056
1460150286568333312,"#30DayMapChallenge - Without computer
Ciel cartographié au-dessus de la Bretagne
https://t.co/p2JJkyvypW https://t.co/H9P7ocdIdw",252009888,2021-11-15 07:38:51+00:00,fr,3,0,7,0,Twitter Web App,3_1460149836108476416,https://pbs.twimg.com/media/FEN-iiwXMAAfHfk.jpg,photo, ,Agnès Stienne,odilon72,False,936,566
1460148701314396160,This is a repost. Helped my daughter make this for a high school geography project. Contours cut out of cardboard. @NTS_archaeology Black Hill LEW parish. #30DayMapChallenge | Day 15 | Map without a computer https://t.co/ZD8NZQBHRl,16735351,2021-11-15 07:32:33+00:00,en,4,1,30,1,Twitter for iPhone,3_1460148695622639619,https://pbs.twimg.com/media/FEN9gKHWYAMoF-I.jpg,photo, ,tookiebunten,tookiebunten,False,1085,2011
